Domain,test size,Classifier,Router
FINANCE,2000.0,100.00%,N/A
MEDICINE,2000.0,99.95%,N/A
COT,2000.0,100.00%,N/A
STACKOVERFLOW,2000.0,0.00%,N/A
Average,2000.0,74.99%,N/A
